id_envio,id_ruta,id_vehiculo,peso_kg,volumen_m3,estado,tipo_carga_norm,origen,destino,distancia_km,tiempo_estimado_hrs,tipo_via,peaje_total,tipo,capacidad_kg,capacidad_m3,año_fabricacion,estado_vehiculo,km_recorridos,dias_en_transito,eficiencia_peso,eficiencia_volumen,costo_por_km,mes_envio,dia_semana_envio,trimestre_envio
19.0,59,16.0,7983.3,45.03,Entregado,Refrigerada,Temuco,Santiago,1070.4,3.5,Autopista,2117.0,Camioneta,1000.0,78.5,2020.0,Fuera De Servicio,115935.0,4.0,7.9833,0.5736305732484076,1.977765321375187,1.0,5.0,1.0
20.0,45,3.0,1386.8,12.96,Entregado,Frágil,Ovalle,Quilpué,1876.7,13.5,Autopista,521.0,Camión,10000.0,69.4,2012.0,En Mantención,478395.0,4.0,0.13868,0.1867435158501441,0.2776149624340597,1.0,5.0,1.0
21.0,75,45.0,6680.8,50.08,En Tránsito,Peligrosa,Coquimbo,Santiago,277.6,12.2,Camino Rural,7813.0,Van,1000.0,25.3,2015.0,Operativo,235075.0,4.0,6.6808000000000005,1.9794466403162048,28.144812680115272,1.0,6.0,1.0
23.0,65,50.0,12530.1,34.67,Entregado,Perecible,Desconocido,Puente Alto,1787.0,22.5,Urbana,7202.0,Furgón,5000.0,56.7,2017.0,En Mantención,443858.0,4.0,1.105755,0.6114638447971781,6.885564797424202,1.0,1.0,1.0
24.0,9,7.0,13403.0,52.39,En Tránsito,Frágil,Osorno,Osorno,1555.3,5.1,Ruta Nacional,7202.0,Furgón,10000.0,48.7,2022.0,Operativo,235075.0,4.0,1.3403,1.075770020533881,6.885564797424202,1.0,1.0,1.0
25.0,17,21.0,12350.2,51.83,En Tránsito,Perecible,Maipú,Rancagua,1556.6,17.9,Autopista,3799.0,Semi-Remolque,5000.0,63.2,2024.0,Fuera De Servicio,154854.0,4.0,1.105755,0.8200949367088607,2.4405756135166388,1.0,2.0,1.0
27.0,13,37.0,3419.4,12.61,Entregado,Frágil,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Semi-Remolque,5000.0,9.8,2019.0,Operativo,40916.0,5.0,0.68388,1.2867346938775508,10.360608444794124,1.0,3.0,1.0
28.0,26,31.0,56.8,46.53,Entregado,Refrigerada,Rancagua,Los Ángeles,1490.8,8.4,Autopista,10265.0,Camioneta,3000.0,13.8,2013.0,Operativo,230010.0,4.0,0.0189333333333333,3.3717391304347823,6.885564797424202,1.0,4.0,1.0
30.0,31,13.0,1638.0,11.6,Entregado,General,Castro,Concepción,883.7,12.7,Ruta Nacional,11863.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,13.424238995134097,1.0,6.0,1.0
32.0,23,13.0,10160.1,11.97,Retrasado,Peligrosa,Chillán,Valparaíso,1884.9,16.5,Autopista,9906.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,5.255451217571224,1.0,0.0,1.0
33.0,30,22.0,13118.8,1.65,Entregado,Perecible,Linares,San Fernando,1424.9,1.3,Autopista,5861.0,Van,10000.0,47.8,2020.0,Operativo,386924.0,4.0,1.31188,0.0345188284518828,4.113271106744333,1.0,1.0,1.0
35.0,72,57.0,14079.4,37.38,Entregado,Refrigerada,Temuco,Las Condes,751.5,15.8,Urbana,6554.0,Camión,5000.0,57.1,2016.0,Operativo,110804.0,5.0,2.81588,0.6546409807355517,8.721224218230207,1.0,2.0,1.0
36.0,64,27.0,817.9,39.73,En Tránsito,Perecible,La Serena,Curicó,1480.2,17.5,Urbana,10844.0,Van,1000.0,22.1,2010.0,Operativo,88004.0,4.0,0.8179,1.7977375565610858,7.32603702202405,1.0,3.0,1.0
37.0,22,54.0,192.6,18.73,En Tránsito,Perecible,Castro,Talca,919.3,23.7,Urbana,4921.0,Van,5000.0,63.9,2020.0,Operativo,295428.0,4.0,0.03852,0.2931142410015649,5.352985967584032,1.0,4.0,1.0
39.0,56,4.0,4347.4,20.44,Entregado,General,Quilpué,Puente Alto,572.2,17.1,Camino Rural,9738.0,Camioneta,1000.0,49.2,2017.0,Operativo,13823.0,4.0,4.3474,0.4154471544715447,17.018524991261796,1.0,5.0,1.0
40.0,74,24.0,3810.0,40.84,Retrasado,Frágil,Coquimbo,Puerto Montt,1126.4,6.1,Urbana,1399.0,Van,10000.0,16.2,2012.0,Operativo,337731.0,4.0,0.381,2.520987654320988,1.242009943181818,1.0,6.0,1.0
41.0,20,23.0,4970.0,30.58,Entregado,Refrigerada,Viña del Mar,Santiago,1071.6,14.5,Ruta Nacional,737.0,Camión,1000.0,62.1,2024.0,Operativo,397688.0,4.0,4.97,0.8255102040816326,0.6877566256065697,1.0,0.0,1.0
42.0,47,13.0,7468.85,55.75,En Tránsito,Refrigerada,San Fernando,La Serena,29.6,3.2,Autopista,8950.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,5.0,1.105755,0.8255102040816326,302.36486486486484,1.0,0.0,1.0
44.0,53,42.0,6607.8,30.58,Entregado,Peligrosa,Temuco,Coquimbo,1433.7,5.1,Autopista,7421.0,Furgón,20000.0,6.7,2016.0,Operativo,456799.0,4.0,0.33039,0.8255102040816326,5.17611773732301,2.0,2.0,1.0
45.0,1,3.0,7468.85,10.37,Devuelto,Frágil,La Florida,Pucón,420.3,6.3,Camino Rural,13931.0,Camión,10000.0,69.4,2012.0,En Mantención,478395.0,4.0,1.105755,0.1494236311239193,33.14537235308113,2.0,3.0,1.0
48.0,19,28.0,3777.1,4.94,Entregado,Peligrosa,Puerto Montt,Talca,1625.7,19.9,Urbana,1526.0,Semi-Remolque,5000.0,5.9,2021.0,Operativo,32072.0,4.0,1.105755,0.8372881355932204,0.938672571815218,2.0,5.0,1.0
50.0,78,31.0,5248.6,51.54,En Tránsito,Perecible,Osorno,La Florida,824.4,5.2,Urbana,14342.0,Camioneta,3000.0,13.8,2013.0,Operativo,230010.0,5.0,1.7495333333333334,3.734782608695652,17.39689471130519,2.0,6.0,1.0
52.0,12,49.0,7468.85,42.17,Retrasado,General,Cauquenes,Los Ángeles,1225.7,3.4,Autopista,4699.0,Camión,20000.0,18.5,2018.0,Operativo,311037.0,4.0,1.105755,2.2794594594594595,3.833727665823611,2.0,1.0,1.0
53.0,26,22.0,10006.9,33.47,Entregado,General,Rancagua,Los Ángeles,1490.8,8.4,Autopista,10265.0,Van,10000.0,47.8,2020.0,Operativo,386924.0,5.0,1.00069,0.7002092050209205,6.885564797424202,2.0,1.0,1.0
54.0,27,30.0,3518.1,51.19,Entregado,Refrigerada,Chillán,Pucón,1613.5,3.0,Ruta Nacional,5399.0,Camión,1000.0,28.2,2021.0,Fuera De Servicio,235075.0,5.0,3.5181,1.8152482269503545,3.34614192748683,2.0,2.0,1.0
56.0,15,21.0,8564.6,31.47,Retrasado,General,Talcahuano,Puerto Montt,1750.1,11.8,Autopista,1666.0,Semi-Remolque,5000.0,63.2,2024.0,Fuera De Servicio,154854.0,4.0,1.105755,0.4979430379746835,0.9519456031083938,2.0,4.0,1.0
58.0,1,53.0,8254.2,21.3,Entregado,Refrigerada,La Florida,Pucón,420.3,6.3,Camino Rural,13931.0,Camioneta,20000.0,13.8,2022.0,Operativo,298453.0,4.0,0.41271,1.5434782608695652,33.14537235308113,2.0,5.0,1.0
60.0,57,38.0,8486.2,10.04,Entregado,Peligrosa,Villarrica,La Serena,1114.8,12.2,Autopista,2453.0,Camioneta,5000.0,69.7,2015.0,Operativo,37268.0,4.0,1.69724,0.1440459110473457,2.200394689630427,2.0,0.0,1.0
61.0,3,12.0,10735.4,9.06,En Tránsito,Refrigerada,Rancagua,Rengo,679.6,18.4,Urbana,2447.0,Furgón,20000.0,23.1,2010.0,Operativo,282654.0,5.0,0.53677,0.3922077922077922,3.6006474396703942,2.0,0.0,1.0
62.0,18,13.0,1653.3,34.66,Entregado,Perecible,Ovalle,Santiago,545.4,7.8,Ruta Nacional,13638.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,25.005500550055007,2.0,1.0,1.0
63.0,52,54.0,11246.9,39.48,Entregado,Peligrosa,San Fernando,Santiago,883.7,12.2,Autopista,7202.0,Van,5000.0,63.9,2020.0,Operativo,295428.0,4.0,2.24938,0.6178403755868545,6.885564797424202,2.0,2.0,1.0
65.0,34,20.0,1008.8,23.5,En Tránsito,Refrigerada,Ovalle,Rancagua,1824.2,11.7,Urbana,3064.0,Furgón,10000.0,8.6,2016.0,Operativo,263978.0,5.0,0.10088,2.732558139534884,1.6796403903080803,2.0,3.0,1.0
67.0,26,49.0,14355.3,14.87,Entregado,General,Rancagua,Los Ángeles,1490.8,8.4,Autopista,10265.0,Camión,20000.0,18.5,2018.0,Operativo,311037.0,4.0,0.717765,0.8037837837837838,6.885564797424202,2.0,5.0,1.0
68.0,72,42.0,915.9,40.13,En Tránsito,Frágil,Temuco,Las Condes,751.5,15.8,Urbana,6554.0,Furgón,20000.0,6.7,2016.0,Operativo,456799.0,5.0,0.0457949999999999,5.98955223880597,8.721224218230207,2.0,5.0,1.0
69.0,19,7.0,6654.4,44.43,En Tránsito,Peligrosa,Puerto Montt,Talca,1625.7,19.9,Urbana,1526.0,Furgón,10000.0,48.7,2022.0,Operativo,235075.0,5.0,0.6654399999999999,0.9123203285420944,0.938672571815218,2.0,6.0,1.0
70.0,22,29.0,7468.85,26.94,Devuelto,General,Castro,Talca,919.3,23.7,Urbana,4921.0,Camión,10000.0,14.8,2018.0,Fuera De Servicio,91015.0,4.0,1.105755,1.8202702702702704,5.352985967584032,2.0,0.0,1.0
71.0,33,48.0,7285.3,56.26,Entregado,Refrigerada,Las Condes,Osorno,1414.7,13.7,Urbana,10742.0,Furgón,10000.0,36.2,2021.0,Operativo,117009.0,4.0,0.72853,1.5541436464088396,7.593129285360853,2.0,1.0,1.0
72.0,38,29.0,12454.4,44.23,Entregado,Peligrosa,Pucón,Cauquenes,374.6,15.0,Urbana,2710.0,Camión,10000.0,14.8,2018.0,Fuera De Servicio,91015.0,5.0,1.24544,2.988513513513513,7.234383342231713,2.0,1.0,1.0
73.0,35,13.0,14259.7,27.53,Entregado,Peligrosa,Rancagua,Angol,1308.4,19.1,Autopista,3708.0,Van,5000.0,22.1,2015.0,Operativo,447261.0,5.0,2.8519400000000004,1.2457013574660634,2.8339957199633137,2.0,2.0,1.0
74.0,67,3.0,9517.4,34.2,Entregado,Frágil,Chillán,Puerto Montt,1065.6,1.0,Autopista,1914.0,Camión,10000.0,69.4,2012.0,En Mantención,478395.0,4.0,0.95174,0.4927953890489913,1.7961711711711714,2.0,3.0,1.0
75.0,10,13.0,5315.0,41.59,Retrasado,Refrigerada,Curicó,Curicó,1645.1,15.2,Urbana,6351.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,3.860555589325877,2.0,4.0,1.0
76.0,15,16.0,9053.9,35.57,Entregado,Perecible,Talcahuano,Puerto Montt,1750.1,11.8,Autopista,1666.0,Camioneta,1000.0,78.5,2020.0,Fuera De Servicio,115935.0,5.0,9.0539,0.4531210191082802,0.9519456031083938,2.0,4.0,1.0
77.0,11,30.0,7468.85,52.73,Entregado,Frágil,La Serena,Rengo,128.4,16.6,Urbana,68.0,Camión,1000.0,28.2,2021.0,Fuera De Servicio,235075.0,4.0,1.105755,1.8698581560283687,0.5295950155763239,2.0,5.0,1.0
78.0,24,38.0,13648.3,21.48,Entregado,Frágil,Castro,Chillán,1776.8,12.2,Autopista,10956.0,Camioneta,5000.0,69.7,2015.0,Operativo,37268.0,4.0,2.72966,0.3081779053084648,6.166141377757767,2.0,6.0,1.0
80.0,4,45.0,8377.9,12.91,Entregado,Perecible,Temuco,Santiago,1182.4,9.6,Autopista,3738.0,Van,1000.0,25.3,2015.0,Operativo,235075.0,5.0,8.3779,0.5102766798418972,3.1613667117726654,2.0,0.0,1.0
81.0,13,7.0,4878.7,2.36,Entregado,Frágil,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Furgón,10000.0,48.7,2022.0,Operativo,235075.0,4.0,0.4878699999999999,0.0484599589322381,10.360608444794124,2.0,1.0,1.0
82.0,73,5.0,4407.9,2.68,Retrasado,Peligrosa,Maipú,Santiago,468.4,5.2,Ruta Nacional,11768.0,Semi-Remolque,3000.0,42.4,2010.0,Operativo,154526.0,4.0,1.4692999999999998,0.0632075471698113,25.123825789923146,3.0,2.0,1.0
83.0,57,56.0,510.9,52.22,Retrasado,General,Villarrica,La Serena,1114.8,12.2,Autopista,2453.0,Camioneta,10000.0,13.6,2014.0,Operativo,123259.0,5.0,0.0510899999999999,3.839705882352941,2.200394689630427,3.0,2.0,1.0
84.0,37,7.0,12239.2,40.74,Entregado,General,Viña del Mar,San Antonio,723.1,7.8,Urbana,1551.0,Furgón,10000.0,48.7,2022.0,Operativo,235075.0,5.0,1.22392,0.8365503080082135,2.144931544737934,3.0,3.0,1.0
86.0,13,32.0,4883.7,36.92,Cancelado,Peligrosa,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Camioneta,5000.0,78.9,2022.0,En Mantención,235075.0,4.0,0.97674,0.4679340937896071,10.360608444794124,3.0,5.0,1.0
89.0,12,30.0,1878.0,52.24,Retrasado,Refrigerada,Cauquenes,Los Ángeles,1225.7,3.4,Autopista,4699.0,Camión,1000.0,28.2,2021.0,Fuera De Servicio,235075.0,4.0,1.878,1.852482269503546,3.833727665823611,3.0,0.0,1.0
91.0,13,13.0,7468.85,55.61,Entregado,Refrigerada,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,5.0,1.105755,0.8255102040816326,10.360608444794124,3.0,1.0,1.0
92.0,44,60.0,14201.2,41.95,Entregado,Refrigerada,Ovalle,Santiago,799.5,1.4,Camino Rural,13523.0,Furgón,10000.0,15.6,2018.0,Operativo,235075.0,5.0,1.42012,2.6891025641025643,16.914321450906815,3.0,2.0,1.0
93.0,58,59.0,5968.3,15.5,En Tránsito,Frágil,Angol,San Fernando,1463.5,20.9,Ruta Nacional,505.0,Furgón,5000.0,75.9,2014.0,En Mantención,94179.0,4.0,1.19366,0.2042160737812911,0.3450632046463956,3.0,3.0,1.0
94.0,44,21.0,3264.9,33.89,Devuelto,Peligrosa,Ovalle,Santiago,799.5,1.4,Camino Rural,13523.0,Semi-Remolque,5000.0,63.2,2024.0,Fuera De Servicio,154854.0,5.0,1.105755,0.5362341772151898,16.914321450906815,3.0,3.0,1.0
95.0,78,28.0,5610.9,32.03,Entregado,Refrigerada,Osorno,La Florida,824.4,5.2,Urbana,14342.0,Semi-Remolque,5000.0,5.9,2021.0,Operativo,32072.0,5.0,1.105755,5.428813559322034,17.39689471130519,3.0,4.0,1.0
97.0,13,58.0,2650.5,35.52,Entregado,General,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Semi-Remolque,1000.0,38.1,2017.0,Operativo,79000.0,4.0,2.6505,0.9322834645669292,10.360608444794124,3.0,6.0,1.0
98.0,4,20.0,9112.9,18.96,Entregado,Refrigerada,Temuco,Santiago,1182.4,9.6,Autopista,3738.0,Furgón,10000.0,8.6,2016.0,Operativo,263978.0,5.0,0.91129,2.204651162790698,3.1613667117726654,3.0,6.0,1.0
100.0,16,5.0,12986.9,56.92,En Tránsito,Peligrosa,Santiago,San Antonio,1703.5,8.3,Autopista,6641.0,Semi-Remolque,3000.0,42.4,2010.0,Operativo,154526.0,4.0,4.328966666666666,1.3424528301886791,3.898444379219255,3.0,1.0,1.0
102.0,13,60.0,9661.6,52.63,Entregado,Refrigerada,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Furgón,10000.0,15.6,2018.0,Operativo,235075.0,5.0,0.96616,3.373717948717949,10.360608444794124,3.0,2.0,1.0
103.0,35,39.0,7468.85,40.6,Cancelado,Frágil,Rancagua,Angol,1308.4,19.1,Autopista,3708.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,5.0,1.105755,0.8255102040816326,2.8339957199633137,3.0,3.0,1.0
104.0,6,13.0,11394.7,21.48,Devuelto,Peligrosa,San Fernando,Santiago,883.7,12.2,Autopista,7202.0,Furgón,5000.0,38.1,2018.0,Operativo,235075.0,4.0,1.105755,0.8255102040816326,6.885564797424202,3.0,4.0,1.0
105.0,19,57.0,13292.2,30.81,Entregado,Peligrosa,Puerto Montt,Talca,1625.7,19.9,Urbana,1526.0,Camión,5000.0,57.1,2016.0,Operativo,110804.0,5.0,2.65844,0.5395796847635727,0.938672571815218,3.0,4.0,1.0
107.0,53,11.0,13917.9,57.62,Entregado,General,Temuco,Coquimbo,1433.7,5.1,Autopista,7421.0,Van,20000.0,5.3,2017.0,Operativo,476196.0,5.0,0.6958949999999999,10.871698113207549,5.17611773732301,3.0,6.0,1.0
108.0,8,54.0,4996.5,30.58,En Tránsito,Refrigerada,Osorno,Quilpué,31.2,10.6,Autopista,14632.0,Van,5000.0,63.9,2020.0,Operativo,295428.0,4.0,0.9993,0.8255102040816326,468.974358974359,3.0,0.0,1.0
109.0,13,17.0,7553.1,52.51,Entregado,Perecible,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Furgón,10000.0,31.3,2014.0,Operativo,341278.0,5.0,0.75531,1.6776357827476038,10.360608444794124,3.0,0.0,1.0
110.0,13,48.0,221.1,55.45,Cancelado,Refrigerada,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Furgón,10000.0,36.2,2021.0,Operativo,117009.0,5.0,0.0221099999999999,1.531767955801105,10.360608444794124,3.0,1.0,1.0
111.0,67,45.0,114.3,40.26,Entregado,Perecible,Chillán,Puerto Montt,1065.6,1.0,Autopista,1914.0,Van,1000.0,25.3,2015.0,Operativo,235075.0,5.0,0.1143,1.5913043478260869,1.7961711711711714,3.0,2.0,1.0
113.0,29,37.0,1521.1,23.93,Entregado,Peligrosa,Ovalle,Pucón,948.5,20.2,Ruta Nacional,609.0,Semi-Remolque,5000.0,9.8,2019.0,Operativo,40916.0,5.0,0.30422,2.441836734693877,0.6420664206642066,3.0,3.0,1.0
115.0,23,48.0,2663.9,42.2,Entregado,General,Chillán,Valparaíso,1884.9,16.5,Autopista,9906.0,Furgón,10000.0,36.2,2021.0,Operativo,117009.0,4.0,0.26639,1.1657458563535912,5.255451217571224,3.0,5.0,1.0
116.0,46,60.0,7468.85,2.62,En Tránsito,Refrigerada,San Fernando,La Serena,314.7,12.2,Ruta Nacional,4798.0,Furgón,10000.0,15.6,2018.0,Operativo,235075.0,4.0,1.105755,0.1679487179487179,15.246266285351128,3.0,6.0,1.0
117.0,28,54.0,13640.5,54.42,Devuelto,Frágil,Las Condes,San Antonio,550.1,6.7,Ruta Nacional,10017.0,Van,5000.0,63.9,2020.0,Operativo,295428.0,5.0,2.7281,0.8516431924882629,18.209416469732776,3.0,6.0,1.0
119.0,10,48.0,11043.9,27.67,En Tránsito,General,Curicó,Curicó,1645.1,15.2,Urbana,6351.0,Furgón,10000.0,36.2,2021.0,Operativo,117009.0,4.0,1.10439,0.7643646408839779,3.860555589325877,3.0,1.0,1.0
120.0,47,48.0,2290.7,34.03,Entregado,Frágil,San Fernando,La Serena,29.6,3.2,Autopista,8950.0,Furgón,10000.0,36.2,2021.0,Operativo,117009.0,5.0,0.2290699999999999,0.9400552486187844,302.36486486486484,3.0,1.0,1.0
121.0,4,46.0,13684.3,30.58,Cancelado,Frágil,Temuco,Santiago,1182.4,9.6,Autopista,3738.0,Camión,10000.0,20.5,2022.0,En Mantención,17043.0,5.0,1.36843,0.8255102040816326,3.1613667117726654,3.0,2.0,1.0
122.0,55,6.0,7468.85,28.2,Devuelto,Perecible,Viña del Mar,Viña del Mar,669.1,3.0,Autopista,13286.0,Camión,1000.0,74.9,2017.0,Fuera De Servicio,145004.0,5.0,1.105755,0.3765020026702269,19.85652368853684,3.0,3.0,1.0
127.0,80,20.0,13168.7,25.0,Entregado,Refrigerada,Puerto Montt,Viña del Mar,235.8,1.8,Ruta Nacional,3117.0,Furgón,10000.0,8.6,2016.0,Operativo,263978.0,4.0,1.31687,2.906976744186047,13.21882951653944,4.0,0.0,2.0
128.0,31,13.0,13427.6,43.73,En Tránsito,General,Castro,Concepción,883.7,12.7,Ruta Nacional,11863.0,Van,5000.0,22.1,2015.0,Operativo,447261.0,5.0,2.68552,1.978733031674208,13.424238995134097,4.0,0.0,2.0
129.0,74,47.0,7468.85,47.95,Entregado,Refrigerada,Coquimbo,Puerto Montt,1126.4,6.1,Urbana,1399.0,Furgón,10000.0,54.1,2022.0,Operativo,191502.0,5.0,1.105755,0.8863216266173752,1.242009943181818,4.0,1.0,2.0
130.0,19,44.0,7468.85,56.72,Retrasado,Perecible,Puerto Montt,Talca,1625.7,19.9,Urbana,1526.0,Semi-Remolque,10000.0,31.05,2022.0,Operativo,306437.0,5.0,1.105755,1.826731078904992,0.938672571815218,4.0,2.0,2.0
131.0,28,41.0,13405.8,36.55,En Tránsito,Perecible,Las Condes,San Antonio,550.1,6.7,Ruta Nacional,10017.0,Furgón,5000.0,38.8,2014.0,Operativo,33259.0,5.0,1.105755,0.9420103092783504,18.209416469732776,4.0,2.0,2.0
132.0,28,32.0,4379.8,15.35,Entregado,Refrigerada,Las Condes,San Antonio,550.1,6.7,Ruta Nacional,10017.0,Camioneta,5000.0,78.9,2022.0,En Mantención,235075.0,5.0,0.8759600000000001,0.1945500633713561,18.209416469732776,4.0,3.0,2.0
133.0,19,26.0,8445.0,55.46,Entregado,Frágil,Puerto Montt,Talca,1625.7,19.9,Urbana,1526.0,Semi-Remolque,5000.0,24.0,2016.0,Operativo,347864.0,5.0,1.689,2.310833333333333,0.938672571815218,4.0,4.0,2.0
134.0,20,50.0,1505.0,46.54,Entregado,General,Viña del Mar,Santiago,1071.6,14.5,Ruta Nacional,737.0,Furgón,5000.0,56.7,2017.0,En Mantención,443858.0,4.0,1.105755,0.8208112874779541,0.6877566256065697,4.0,5.0,2.0
135.0,13,53.0,13830.1,34.51,En Tránsito,Frágil,San Fernando,Santiago,762.6,19.0,Autopista,7901.0,Camioneta,20000.0,13.8,2022.0,Operativo,298453.0,5.0,0.691505,2.500724637681159,10.360608444794124,4.0,5.0,2.0
136.0,77,14.0,2120.1,41.77,Entregado,General,Cauquenes,La Florida,1827.8,23.6,Camino Rural,12453.0,Furgón,1000.0,33.5,2016.0,Operativo,151609.0,5.0,2.1201,1.2468656716417912,6.813108655213918,4.0,6.0,2.0
137.0,43,52.0,3381.2,55.47,Entregado,Refrigerada,Puente Alto,Temuco,872.6,10.0,Camino Rural,7140.0,Semi-Remolque,5000.0,69.4,2013.0,En Mantención,171940.0,5.0,0.67624,0.799279538904899,8.18244327297731,4.0,0.0,2.0
138.0,11,57.0,8376.4,42.77,En Tránsito,Perecible,La Serena,Rengo,128.4,16.6,Urbana,68.0,Camión,5000.0,57.1,2016.0,Operativo,110804.0,4.0,1.67528,0.7490367775831874,0.5295950155763239,4.0,1.0,2.0
139.0,48,36.0,11463.8,22.17,Cancelado,Perecible,Villarrica,Santiago,483.8,7.7,Autopista,9072.0,Camioneta,5000.0,49.1,2023.0,Operativo,138259.0,5.0,2.29276,0.4515274949083503,18.75155022736668,4.0,1.0,2.0
