id_envio,pca_1,pca_2,cluster_kmeans,cluster_dbscan,tiene_incidencia
197.0,0.3926,-0.1744,3,-1,0
199.0,2.2976,-0.8249,2,-1,0
200.0,-0.5529,-0.4526,3,-1,1
201.0,0.56,1.279,0,-1,0
202.0,0.6207,-0.7997,3,-1,0
203.0,-0.7442,-0.9507,3,-1,1
204.0,0.5194,-1.2224,3,-1,0
205.0,-0.5707,-0.2529,3,-1,0
206.0,-1.6151,-1.0641,3,-1,0
207.0,-0.9515,-0.319,3,-1,0
208.0,0.3204,-1.1926,3,-1,0
209.0,0.7618,0.625,4,-1,0
210.0,0.4348,-0.6011,3,-1,0
211.0,-0.8616,-0.0121,3,-1,0
212.0,-3.7656,0.4373,1,-1,1
213.0,2.7251,-1.0193,2,-1,0
214.0,-0.7247,-0.4154,1,-1,0
215.0,-0.4501,-0.3595,3,-1,0
216.0,1.9577,0.6031,0,-1,0
217.0,0.9687,-0.5145,2,-1,1
218.0,-0.0011,0.0801,3,-1,0
219.0,-1.1714,-0.3146,3,-1,0
221.0,-2.7626,0.5299,1,-1,0
222.0,-0.1196,-0.3675,3,-1,0
223.0,-1.9632,-0.2642,3,-1,1
224.0,-0.8416,-0.3622,1,-1,0
225.0,1.7133,0.0393,2,-1,0
226.0,-0.6897,-0.8307,3,-1,1
227.0,-1.804,0.4394,3,-1,0
228.0,-0.0076,0.0017,3,-1,0
229.0,-1.2762,-0.4105,3,-1,0
230.0,0.3504,1.0115,0,-1,1
231.0,-1.0396,-0.2438,3,-1,0
232.0,-1.0071,0.5541,4,-1,0
233.0,0.2765,-0.2739,3,-1,0
234.0,1.6526,-0.8666,2,-1,1
235.0,-1.5946,-0.4194,3,-1,0
236.0,1.2126,-0.7924,2,-1,0
237.0,-1.304,0.3345,3,-1,1
238.0,0.1681,-0.5816,3,-1,0
239.0,-0.8374,-0.5975,3,-1,0
240.0,2.1446,-0.6399,2,-1,0
241.0,0.2752,-0.7767,3,-1,1
242.0,-0.4007,-1.0736,3,-1,1
244.0,-1.425,-0.1999,3,-1,0
246.0,-0.1292,-0.6271,3,-1,0
249.0,1.1835,0.0016,2,-1,0
250.0,-2.2091,0.4271,4,-1,0
251.0,0.0684,0.112,4,-1,0
252.0,0.4298,0.9485,4,-1,0
253.0,0.8322,0.4122,4,-1,0
254.0,-0.3516,0.0888,4,-1,0
255.0,-1.2482,1.141,4,-1,1
256.0,0.2221,-0.2534,4,-1,0
257.0,0.3007,0.2852,4,-1,1
258.0,1.2674,-0.0385,2,-1,0
259.0,0.4091,0.1261,4,-1,1
260.0,0.5619,-0.1506,4,-1,0
261.0,1.7186,-0.896,2,-1,0
262.0,2.0216,1.3633,0,-1,0
263.0,0.3473,2.1686,0,-1,1
264.0,-0.596,-0.1315,4,-1,0
265.0,0.1112,-0.1427,4,-1,0
267.0,1.0324,-0.4108,2,-1,0
268.0,-0.8787,0.2717,4,-1,1
269.0,-1.2578,0.3489,4,-1,1
270.0,3.4985,-0.9899,2,-1,0
271.0,1.4407,0.6076,4,-1,0
272.0,1.3216,0.2242,2,-1,0
273.0,-0.4916,0.0122,4,-1,1
274.0,-0.3588,0.487,4,-1,0
275.0,0.2304,0.9478,4,-1,0
276.0,-0.7393,-0.0439,4,-1,0
277.0,2.7649,-0.2664,2,-1,0
278.0,0.4629,0.2627,4,-1,0
279.0,2.4437,0.5227,2,-1,0
280.0,0.7814,0.2901,4,-1,0
281.0,0.8615,-0.415,2,-1,0
282.0,0.1404,-0.0213,4,-1,0
283.0,-0.6257,0.1299,4,-1,0
284.0,-0.4074,-0.2557,4,-1,1
285.0,0.8057,0.3244,4,-1,0
286.0,-1.8883,0.052,4,-1,0
287.0,-0.8308,1.053,4,-1,1
288.0,-0.0902,-0.3847,1,-1,0
289.0,-1.4286,0.8886,4,-1,0
290.0,-0.9374,1.0536,4,-1,1
291.0,-1.0411,0.8194,4,-1,0
293.0,1.2586,0.8982,4,-1,0
294.0,1.9142,0.8788,4,-1,0
295.0,3.3841,0.332,2,-1,0
296.0,-0.1252,0.244,4,-1,1
297.0,-0.2147,0.2793,4,-1,0
298.0,0.3791,1.1216,4,-1,0
299.0,5.817,-0.9855,2,-1,0
300.0,-0.0334,0.7677,4,-1,0
303.0,-0.4795,0.5236,4,-1,0
304.0,-0.3554,0.2816,4,-1,0
305.0,-0.6281,0.3059,4,-1,0
306.0,1.5252,0.7245,2,-1,0
307.0,2.9143,0.0665,2,-1,0
308.0,-1.4354,0.8443,4,-1,0
309.0,-1.2652,0.6251,4,-1,0
310.0,0.1302,0.9341,4,-1,0
311.0,-0.1894,1.1227,4,-1,0
312.0,2.505,0.6679,2,-1,0
313.0,-0.0383,-0.4039,4,-1,0
315.0,0.5827,0.8102,4,-1,0
316.0,-1.3711,0.7208,1,-1,0
317.0,0.0342,0.646,4,-1,1
318.0,0.4426,0.994,4,-1,0
319.0,0.7368,0.7053,4,-1,0
320.0,0.0732,0.1824,4,-1,0
321.0,4.4793,-0.4127,2,-1,0
322.0,2.5308,-0.1471,2,-1,1
323.0,-0.0695,1.1287,4,-1,0
324.0,2.4009,-0.0974,2,-1,0
325.0,0.0073,0.3333,4,-1,0
326.0,0.8837,0.2152,2,-1,0
328.0,-1.7956,0.1922,1,-1,0
329.0,0.4978,0.2701,2,-1,0
330.0,-0.6902,-0.0108,4,-1,0
332.0,0.3483,0.6451,4,-1,0
333.0,-1.1056,1.255,1,-1,0
334.0,-0.0453,0.3941,4,-1,1
335.0,-1.3832,0.2101,4,-1,0
336.0,5.4473,0.1231,2,-1,0
337.0,1.2863,0.9939,4,-1,0
338.0,-0.851,1.4313,1,-1,0
339.0,2.5485,0.0443,2,-1,0
340.0,-1.5431,0.4325,1,-1,0
341.0,-0.3519,0.7451,4,-1,0
342.0,-1.6215,0.2861,4,-1,0
344.0,0.784,0.627,4,-1,0
345.0,1.6404,-0.2286,2,-1,1
346.0,-0.1999,0.6063,4,-1,0
347.0,3.1631,0.7418,2,-1,0
348.0,1.8002,1.0127,4,-1,1
349.0,1.766,0.5365,2,-1,0
350.0,0.286,2.7579,0,-1,0
351.0,-2.6811,1.0491,1,-1,0
352.0,-2.3568,0.3564,1,-1,0
353.0,0.8307,0.1456,4,-1,0
354.0,0.5827,0.9846,4,-1,0
355.0,-0.6707,1.0952,4,-1,0
356.0,0.1161,0.6104,4,-1,0
357.0,0.7282,0.8397,4,-1,0
358.0,-1.0148,1.1568,4,-1,0
359.0,0.17,1.2375,1,-1,0
360.0,1.2048,0.2262,2,-1,0
361.0,-1.8024,0.6845,4,-1,0
362.0,0.3048,0.7546,4,-1,0
363.0,-0.1597,0.5446,4,-1,1
364.0,0.9314,0.9354,4,-1,0
365.0,2.4308,-0.2579,2,-1,0
366.0,-0.5641,1.4087,4,-1,0
367.0,-0.3706,0.2706,4,-1,0
368.0,0.6491,0.3072,4,-1,1
369.0,0.0317,1.0465,4,-1,0
370.0,1.3059,1.9558,0,-1,0
371.0,-4.2725,1.2075,1,-1,0
372.0,-0.54,1.4205,4,-1,0
373.0,0.818,0.5391,4,-1,0
374.0,5.1573,0.2568,2,-1,1
375.0,0.9463,1.2588,4,-1,1
376.0,0.5233,2.8866,0,-1,0
377.0,1.362,1.2191,4,-1,0
379.0,1.2144,1.2288,4,-1,0
380.0,0.4515,1.3817,4,-1,0
381.0,-1.5789,1.867,1,-1,0
382.0,-1.5918,1.5317,4,-1,0
383.0,-3.9407,1.0266,1,-1,0
384.0,-2.1289,1.462,4,-1,0
385.0,0.0694,1.5056,4,-1,1
386.0,-1.3158,1.0911,4,-1,0
387.0,-1.328,1.5091,4,-1,0
388.0,-0.672,2.052,4,-1,0
389.0,0.287,1.2743,4,-1,0
390.0,0.8825,1.5175,4,-1,0
392.0,-0.7591,2.0402,4,-1,0
393.0,1.9428,1.7579,4,-1,1
394.0,0.6307,1.1437,4,-1,0
395.0,-0.5881,1.233,4,-1,0
396.0,-1.0118,1.748,4,-1,0
397.0,-0.8875,2.3981,4,-1,1
398.0,-0.1028,1.2828,4,-1,0
399.0,0.6109,1.3127,4,-1,0
400.0,-0.7021,2.2483,4,-1,1
402.0,-0.4107,1.431,4,-1,0
403.0,0.0983,1.8143,4,-1,0
404.0,-0.7801,1.702,4,-1,0
406.0,0.6341,2.0171,4,-1,0
407.0,1.4033,1.5724,2,-1,0
408.0,2.202,1.8018,4,-1,1
409.0,-1.4422,1.7259,4,-1,0
410.0,-1.4428,0.1766,1,-1,0
411.0,-0.8035,3.6352,0,-1,0
412.0,0.0427,1.3553,4,-1,1
414.0,-0.8624,1.7296,4,-1,1
415.0,-0.6401,2.2893,4,-1,1
416.0,0.3954,1.7159,4,-1,0
417.0,0.7298,1.8998,4,-1,0
418.0,-1.064,2.3062,4,-1,0
419.0,1.6015,1.2083,4,-1,0
420.0,1.6431,1.3178,2,-1,1
421.0,-0.9813,1.3141,4,-1,1
422.0,-2.4401,2.0699,4,-1,0
423.0,0.0316,1.7559,4,-1,0
424.0,-0.1736,-0.5479,4,-1,0
425.0,-0.1547,2.337,4,-1,0
426.0,-0.0728,1.5964,4,-1,1
427.0,0.1691,1.6761,4,-1,0
428.0,-0.0785,2.3302,4,-1,1
429.0,-1.197,1.617,4,-1,0
430.0,0.6686,1.614,4,-1,1
431.0,-0.2786,1.9688,4,-1,0
432.0,-2.9682,2.0041,1,-1,0
433.0,0.3976,1.6897,4,-1,0
434.0,-1.6257,1.5914,4,-1,0
436.0,-0.4973,1.5668,4,-1,0
437.0,-1.1126,1.9363,4,-1,0
438.0,0.1076,1.671,4,-1,1
439.0,1.5904,0.8335,2,-1,0
440.0,0.1894,1.7167,4,-1,0
441.0,1.599,2.0518,4,-1,0
442.0,-0.1627,1.8379,4,-1,0
443.0,-0.0615,0.2833,4,-1,0
444.0,1.0829,3.5096,0,-1,0
445.0,-1.5173,1.3872,4,-1,0
447.0,0.517,0.9212,4,-1,0
450.0,-0.1059,1.5995,4,-1,1
451.0,-1.9245,2.3945,4,-1,0
452.0,1.0199,1.2839,4,-1,0
453.0,-0.515,2.0161,4,-1,0
454.0,1.2737,0.7049,4,-1,0
455.0,0.5615,2.222,4,-1,0
456.0,1.1348,1.5601,4,-1,1
457.0,-1.2483,1.6684,4,-1,0
459.0,0.0053,2.382,4,-1,0
460.0,0.806,2.3302,4,-1,0
461.0,-0.1401,1.8868,4,-1,0
462.0,-0.7351,1.899,4,-1,0
463.0,0.6768,1.8092,4,-1,1
464.0,-0.1903,1.9092,4,-1,0
465.0,0.2488,1.7909,4,-1,0
466.0,-1.5398,2.482,4,-1,0
467.0,1.3195,2.1804,4,-1,0
468.0,2.122,1.131,2,-1,1
471.0,0.4406,1.212,4,-1,0
476.0,0.0433,1.9759,4,-1,0
477.0,2.6182,1.033,2,-1,0
478.0,0.9246,1.7193,4,-1,0
479.0,-0.4347,2.2641,4,-1,1
480.0,0.1047,1.2524,4,-1,1
481.0,-0.6885,1.5993,4,-1,1
482.0,5.9162,0.7018,2,-1,1
486.0,-0.1934,1.6919,4,-1,0
487.0,-0.4664,2.1576,4,-1,0
488.0,1.2538,3.676,0,-1,0
489.0,-0.7871,2.6451,4,-1,1
490.0,0.0232,1.1743,4,-1,0
491.0,5.4467,1.4903,2,-1,0
492.0,3.2688,1.6996,2,-1,0
493.0,-0.3798,1.8192,4,-1,0
494.0,-0.1199,1.8417,4,-1,0
495.0,0.4226,2.0916,4,-1,0
496.0,1.5007,1.5973,4,-1,0
497.0,2.9797,2.062,2,-1,1
498.0,1.031,1.8658,4,-1,0
499.0,0.0269,0.8864,1,-1,1
500.0,1.0658,2.4173,4,-1,0
501.0,-1.0627,-2.5332,3,-1,0
502.0,0.0087,-2.5303,3,-1,0
504.0,-2.805,-1.9174,3,-1,0
505.0,-1.2892,-1.7884,3,-1,0
507.0,-0.8702,-2.1721,3,-1,0
508.0,-0.5486,-1.533,3,-1,0
509.0,-0.8778,-2.3063,1,-1,0
510.0,1.033,-2.8633,2,-1,0
512.0,-0.2563,-2.1094,3,-1,0
514.0,2.0216,-2.4385,2,-1,0
515.0,0.9162,-2.2128,3,-1,0
516.0,-2.0559,-1.592,1,-1,1
517.0,-0.2833,-0.174,4,-1,0
518.0,-0.5261,-2.0018,3,-1,1
519.0,2.1583,-2.3665,2,-1,0
520.0,-0.1271,-1.7535,3,-1,0
521.0,-0.4941,-2.6297,3,-1,0
523.0,-0.8135,-2.6003,3,-1,0
524.0,2.1929,-2.1439,2,-1,0
525.0,0.1814,-2.7476,3,-1,1
526.0,0.234,-2.4306,3,-1,0
527.0,-0.0278,-1.3506,3,-1,1
528.0,3.2262,-2.8295,2,-1,0
529.0,2.3887,-2.608,2,-1,0
530.0,0.7949,-2.3118,3,-1,0
531.0,0.0245,-1.4438,3,-1,0
532.0,-2.5671,-2.1772,1,-1,0
533.0,0.2078,0.1497,4,-1,0
534.0,-0.04,-1.3952,3,-1,0
535.0,-2.5019,-1.5741,3,-1,0
536.0,-1.7887,-1.958,3,-1,0
537.0,-1.3227,-1.377,3,-1,1
539.0,-1.2381,-1.8709,3,-1,0
540.0,-0.578,-2.445,3,-1,0
541.0,-0.3683,-2.5395,3,-1,0
542.0,-1.1214,-1.771,3,-1,0
543.0,-0.311,-2.6968,3,-1,0
544.0,0.3857,-1.8757,3,-1,1
545.0,1.6714,0.1472,2,-1,1
546.0,-0.4857,-1.262,3,-1,0
547.0,1.4766,-2.5083,2,-1,0
550.0,-2.4077,-1.5904,1,-1,0
551.0,-0.6586,-1.6615,3,-1,0
552.0,0.7838,-1.8306,3,-1,0
553.0,1.1122,-1.4038,3,-1,0
554.0,1.1885,-1.9645,3,-1,1
555.0,1.4849,-2.3649,2,-1,1
556.0,1.1249,-2.3175,2,-1,0
559.0,2.2553,-2.4402,2,-1,0
560.0,-0.3783,-2.2706,3,-1,1
561.0,-1.965,-0.875,3,-1,0
562.0,0.9342,-1.5049,3,-1,1
563.0,-0.5169,-2.1961,3,-1,0
564.0,-1.3022,-1.5581,3,-1,0
565.0,-1.997,-1.6826,3,-1,1
566.0,-0.5146,-2.3828,3,-1,0
567.0,-0.4925,-2.2458,3,-1,0
568.0,-0.6509,-1.8863,3,-1,0
569.0,1.568,-0.2081,0,-1,1
570.0,-2.0326,-1.582,1,-1,0
571.0,-1.3709,-1.9539,1,-1,0
572.0,0.393,-1.3606,3,-1,0
573.0,1.293,-2.0194,3,-1,1
574.0,-0.0047,-1.3426,3,-1,0
575.0,0.7707,-1.3526,3,-1,0
577.0,0.4664,-2.0034,3,-1,0
578.0,0.8217,-1.9964,3,-1,0
579.0,-2.1394,-1.5441,3,-1,0
580.0,-1.9481,-1.6595,3,-1,0
581.0,-1.2784,-2.2907,3,-1,0
582.0,1.6649,-0.2843,0,-1,0
583.0,0.9315,-2.4017,3,-1,0
584.0,0.9338,-1.3826,3,-1,0
585.0,0.5823,-1.078,3,-1,0
586.0,0.273,-1.5641,3,-1,0
587.0,0.7624,-1.1806,3,-1,0
588.0,1.3127,-1.8323,2,-1,0
589.0,-2.3544,-1.9239,3,-1,0
590.0,-0.518,-1.0262,3,-1,0
591.0,-1.3487,-1.921,3,-1,0
592.0,-0.3984,-1.7233,3,-1,0
593.0,0.6304,-1.5363,3,-1,1
594.0,1.0257,-2.0179,3,-1,0
595.0,0.3953,-2.4178,3,-1,0
596.0,2.5021,-2.2043,2,-1,0
597.0,0.2209,-1.9059,3,-1,0
599.0,0.0429,-1.237,3,-1,0
600.0,0.8079,-2.2135,3,-1,0
601.0,0.2428,-1.2236,3,-1,0
602.0,-0.7738,-1.3465,3,-1,0
604.0,-0.7955,0.0718,0,-1,0
605.0,-0.542,-1.7551,3,-1,0
606.0,-0.4456,-2.1079,3,-1,0
607.0,-0.2881,-2.2774,3,-1,0
608.0,-1.0024,-1.9183,3,-1,0
609.0,-3.4396,-1.1746,1,-1,0
610.0,-1.0183,-1.3262,3,-1,0
611.0,-0.475,-1.7594,3,-1,0
612.0,-2.1361,-1.5443,3,-1,0
613.0,1.1106,-1.6741,2,-1,0
614.0,-0.6933,-2.141,3,-1,0
615.0,-0.1255,-1.1398,3,-1,1
616.0,-1.1902,-1.687,3,-1,0
617.0,-0.9309,-2.0444,3,-1,1
618.0,1.2997,-1.9185,2,-1,0
619.0,-1.4814,0.6556,4,-1,0
620.0,-2.1106,-1.9555,3,-1,0
621.0,-0.4039,-2.1534,3,-1,0
622.0,6.513,-1.4176,0,-1,0
624.0,-0.8113,-1.6872,3,-1,0
625.0,0.5232,-1.9681,3,-1,0
626.0,-2.9495,-0.6375,3,-1,1
628.0,1.0928,-1.2119,2,-1,0
629.0,1.3996,-1.5502,2,-1,0
630.0,0.7274,-0.456,3,-1,0
631.0,0.2201,-0.9096,1,-1,0
632.0,1.5007,-1.0276,2,-1,0
633.0,-0.3029,-1.3455,3,-1,0
634.0,0.9484,-1.339,2,-1,0
636.0,-1.5596,-0.8383,3,-1,0
637.0,0.6296,-1.4953,3,-1,0
638.0,-2.1723,0.3947,4,-1,1
639.0,-0.0604,-0.6076,3,-1,0
640.0,-2.7051,-0.9886,1,-1,0
641.0,0.7535,-0.611,3,-1,0
642.0,0.1391,-0.3953,3,-1,0
644.0,-2.0206,-0.3453,3,-1,0
645.0,-2.0827,-0.9676,3,-1,0
646.0,0.446,-0.4873,3,-1,0
647.0,-0.3951,-0.2472,3,-1,0
648.0,0.0818,-0.6529,3,-1,0
649.0,-1.3791,-0.9023,3,-1,0
650.0,-2.4789,-1.0286,1,-1,1
651.0,5.5985,-2.4476,2,-1,0
653.0,-1.8545,-0.5342,1,-1,0
655.0,0.9588,0.765,4,-1,0
657.0,0.7732,0.5829,0,-1,1
658.0,-0.1233,-0.8789,3,-1,0
659.0,-0.5307,-1.1446,3,-1,0
662.0,-0.3168,-0.8511,3,-1,0
664.0,0.9052,-1.893,2,-1,0
665.0,0.7975,-1.1721,3,-1,1
666.0,0.1094,1.0443,0,-1,0
667.0,-1.2269,0.1708,3,-1,0
668.0,0.9484,0.6426,0,-1,0
669.0,-0.1231,-0.3831,3,-1,0
671.0,0.6419,-1.5691,2,-1,0
672.0,-1.0297,-0.4736,3,-1,0
673.0,1.2691,-1.5276,2,-1,1
674.0,5.5226,-1.8329,2,-1,0
675.0,-0.5554,-0.8528,3,-1,0
678.0,-3.2914,-0.1383,1,-1,1
679.0,2.9679,-0.6686,2,-1,0
680.0,0.8358,-1.2369,2,-1,0
681.0,-2.4317,-0.1259,3,-1,0
683.0,-1.687,-0.6892,3,-1,0
685.0,-1.3975,0.086,4,-1,0
686.0,0.3343,-0.4264,3,-1,0
688.0,-2.2966,-0.7084,3,-1,1
690.0,2.3174,-0.759,2,-1,0
691.0,0.5055,-0.6147,3,-1,1
692.0,-0.9227,-0.6422,3,-1,1
693.0,-0.6555,0.1066,3,-1,0
694.0,2.7319,-0.8291,2,-1,1
695.0,-2.9654,-0.4624,3,-1,0
696.0,2.1655,-1.4572,2,-1,0
697.0,-0.4272,0.0026,3,-1,0
699.0,0.5839,-0.9362,3,-1,0
700.0,-0.0268,-0.614,3,-1,0
701.0,-0.3259,-0.7637,3,-1,0
702.0,1.0405,-1.1091,2,-1,1
703.0,-1.2235,-0.8224,3,-1,0
704.0,-0.9036,-0.8683,3,-1,1
705.0,-2.5594,-0.2626,1,-1,0
706.0,-0.9755,-0.2852,3,-1,0
707.0,0.2959,-0.5611,3,-1,0
708.0,-1.7483,0.1525,1,-1,1
709.0,-0.516,-1.0585,3,-1,0
710.0,0.3119,-0.024,3,-1,0
712.0,-2.1208,0.9841,4,-1,0
713.0,2.0363,-1.6096,2,-1,0
714.0,2.1077,-0.4045,2,-1,0
715.0,0.1089,0.7588,1,-1,0
716.0,1.4917,0.6916,0,-1,0
717.0,-0.2647,-0.8169,3,-1,1
719.0,-0.3919,-0.5124,3,-1,0
720.0,-2.3078,-0.6995,3,-1,0
721.0,3.1886,-0.4977,2,-1,0
722.0,-0.583,0.0707,3,-1,0
723.0,-1.6788,0.4145,3,-1,0
724.0,-0.168,0.1866,3,-1,0
725.0,-1.0125,-1.0272,3,-1,1
726.0,2.8837,-0.4628,2,-1,0
727.0,-0.1876,-0.2371,3,-1,0
728.0,-0.8717,-0.8476,3,-1,0
730.0,-0.6971,0.0811,3,-1,0
731.0,4.725,-1.4263,2,-1,0
732.0,4.5167,-1.9731,2,-1,0
733.0,-0.307,-0.5499,3,-1,0
734.0,-0.6231,-0.2494,3,-1,0
735.0,-1.8664,-0.3801,3,-1,0
738.0,2.3862,-1.0743,2,-1,0
739.0,-0.9362,-0.8846,3,-1,0
740.0,-0.2308,-0.8369,3,-1,0
